lap_index,compound,latent_tyre_pace_s,variance,lower_95_s,upper_95_s,innovation_s,baseline_lap_time_s,fuel_effect_s,pit_reset
0,MEDIUM,0.010428571428572175,0.12244897959183672,-0.6754285565507177,0.6962856994078619,-0.09099999999999847,91.036,1.2,False
1,MEDIUM,0.05304997525977005,0.09846610588817416,-0.5619844891241453,0.6680844396436855,-0.031428571428579244,91.036,1.1489999999999998,False
2,MEDIUM,0.10660638907640944,0.08911080258314333,-0.47848168908225835,0.6916944672350772,-0.004049975259771965,91.036,1.098,False
3,MEDIUM,0.16582718426964507,0.08514054578728857,-0.40607833301135454,0.7377327015506446,0.012393610923580045,91.036,1.047,False
4,MEDIUM,0.2285572439512464,0.08339577472535153,-0.33745795742139384,0.7945724453238867,0.02317281573034982,91.036,0.996,False
5,MEDIUM,0.2936176348867684,0.08261728109812864,-0.2697495163268704,0.8569847861004072,0.03044275604873975,91.036,0.945,False
6,MEDIUM,0.3602609204483522,0.08226757541730695,-0.20191264503042977,0.9224344859271341,0.03538236511323739,91.036,0.894,False
7,MEDIUM,0.42798438508361675,0.08211000869485252,-0.13365055809757936,0.9896193282648129,0.038739079551644906,91.036,0.843,False
8,MEDIUM,0.49644389161941577,0.0820389171492216,-0.06494786475081243,1.057835647989644,0.041015614916385834,91.036,0.7919999999999999,False
9,MEDIUM,0.5654034564537784,0.082006822084874,0.004121523980220254,1.1266853889273367,0.042556108380577884,91.036,0.7410000000000001,False
10,MEDIUM,0.6347017849149315,0.08199232839407307,0.07346945445038044,1.1959341153794825,0.04359654354622078,91.036,0.69,False
11,HARD,0.0017551020408135831,0.12244897959183672,-0.6841020259384762,0.6876122300201033,-0.07400000000000559,91.036,0.639,True
12,HARD,0.02567243938644021,0.09846610588817416,-0.5893620249974751,0.6407069037703557,-0.0357551020408148,91.036,0.588,False
13,HARD,0.05666033193646559,0.08911080258314333,-0.5284277462222022,0.6417484100951334,-0.019672439386437174,91.036,0.537,False
14,HARD,0.09102982601909074,0.08514054578728857,-0.4808756912619089,0.6629353433000903,-0.010660331936458184,91.036,0.486,False
15,HARD,0.1273519610687067,0.08339577472535153,-0.43866324030393355,0.693367162441347,-0.005029826019093242,91.036,0.435,False
16,HARD,0.16490517967811902,0.08261728109812864,-0.39846197153551977,0.7282723308917578,-0.0013519610687048877,91.036,0.384,False
17,HARD,0.20326545253171133,0.08226757541730695,-0.3589081129470706,0.7654390180104933,0.0010948203218728858,91.036,0.333,False
18,HARD,0.24216358739730076,0.08211000869485252,-0.31947135578389535,0.8037985305784969,0.002734547468284887,91.036,0.28200000000000003,False
19,HARD,0.28142252793994854,0.0820389171492216,-0.27996922843027966,0.8428142843101767,0.003836412602685524,91.036,0.23100000000000007,False
